scope,task,layer_idx,tensor_axis,n_samples,sample_indices,mean_relative_l2,median_relative_l2,mean_p99_abs,median_p99_abs,mean_outlier_fraction,median_outlier_fraction,mean_mean,median_mean,mean_std,median_std,mean_variance,median_variance,mean_max_abs,median_max_abs,mean_p50_abs,median_p50_abs,mean_p95_abs,median_p95_abs,mean_mse,median_mse,mean_max_abs_error,median_max_abs_error
primary,trec,9,value,4,82 151 153 154,0.40570199028842047,0.4057657584344756,1.039794921875,1.03955078125,0.007207543261341966,0.007216598046228073,0.0005370923982022163,0.0005433320107175361,0.3684567143814673,0.3683387813466797,0.13576059775785232,0.13567353812169924,6.845703125,6.8515625,0.23065185546875,0.2305908203125,0.7305908203125,0.730224609375,0.02235448971409295,0.02234498136275545,1.3624267578125,1.3642578125
primary,trec,13,key,4,82 151 153 154,0.1723903088531675,0.17249201411585577,6.6025390625,6.57421875,0.014040606645519003,0.01394549509994869,-0.00825384525264879,-0.008907320034759407,1.8425211680679572,1.8418301929214742,3.3948908366716823,3.392340773838767,19.84375,19.7890625,0.77294921875,0.7734375,3.380859375,3.376953125,0.100860173935225,0.10081225541004779,3.05078125,3.05078125
primary,trec,13,value,4,82 151 153 154,0.3990230517354922,0.3990299332433675,1.1279296875,1.12841796875,0.006026489311383278,0.0060231904079264325,-0.0024769166196094137,-0.002510613019275164,0.40913148419222106,0.40921750368926424,0.16738874999415354,0.16745900311134015,5.30859375,5.30078125,0.2613525390625,0.2613525390625,0.8104248046875,0.810791015625,0.026664098964586536,0.026674507457323235,1.4228515625,1.418701171875
primary,trec,18,key,4,82 151 153 154,0.17172464667340617,0.17166246824896703,6.6884765625,6.689453125,0.01350000024787602,0.01349068714849845,-0.00881617685429934,-0.0088158341479276,1.8229426299989568,1.8242274874444488,3.3231272747504508,3.32780593751324,18.625,18.59375,0.73828125,0.73828125,3.26513671875,3.263671875,0.0979761813284849,0.09794389438773342,2.896484375,2.890625
primary,trec,18,value,4,82 151 153 154,0.4003941032572317,0.4003514237554189,1.29443359375,1.2939453125,0.006046034860073139,0.006051679916458349,-0.0024757521631228437,-0.002543119412798202,0.4707265540969743,0.4707023868146482,0.2215840276496513,0.2215611482024873,5.2861328125,5.28125,0.2996826171875,0.2996826171875,0.928955078125,0.928955078125,0.03554119392212558,0.03552716887673581,1.168212890625,1.1689453125
primary,trec,22,key,4,82 151 153 154,0.17469580733182222,0.17479159604134858,6.75,6.73046875,0.014523843813412818,0.014469026800941196,-0.009680716165178117,-0.009934828886864058,1.8441827223324907,1.8444695251051564,3.401025550746145,3.4020809069446027,22.18359375,22.1875,0.75439453125,0.75439453125,3.31005859375,3.310546875,0.10377011589197375,0.1036904481237808,3.078125,3.08203125
primary,trec,22,value,4,82 151 153 154,0.3947553630594128,0.3948359308995575,1.4453125,1.44580078125,0.005837055195102445,0.005836585048979487,-0.002331131475068432,-0.0023393229328803307,0.5260480310911637,0.5261159264863912,0.27672739697440085,0.27679811137946664,6.8076171875,6.658203125,0.3375244140625,0.3375244140625,1.043212890625,1.04345703125,0.04314496686638665,0.043162494688567386,1.3984909057617188,1.3801116943359375
primary,trec,27,key,4,82 151 153 154,0.16829969244388684,0.16828034214971416,6.5517578125,6.515625,0.01256178344991117,0.012519429862081884,-0.007598825706227407,-0.007413598513863378,1.8447321546989057,1.84415102349744,3.4030494747679665,3.4008964329971905,22.1875,22.171875,0.7137451171875,0.71435546875,3.0732421875,3.072265625,0.0963744946435484,0.0963380102407076,2.9375,2.9296875
primary,trec,27,value,4,82 151 153 154,0.40050607874213595,0.40050851264387155,1.703857421875,1.703125,0.005520843568636567,0.005514418322707382,-0.0013093094234522585,-0.0013179278196827368,0.6271957358003092,0.6271397471779164,0.3933762247478421,0.3933043293136499,6.9912109375,6.859375,0.4031982421875,0.4033203125,1.2333984375,1.2333984375,0.06312660265826442,0.0631022274406257,1.572998046875,1.56982421875
primary,trec,31,key,4,82 151 153 154,0.1694524608072315,0.1694374973814003,6.6220703125,6.642578125,0.01618040703736692,0.016140441668519835,-0.03373312812123891,-0.03291156886147165,1.7938911266066373,1.7953195215672677,3.2180787764829866,3.2231840466011796,21.55859375,21.6328125,0.7811279296875,0.781494140625,3.3466796875,3.3486328125,0.09241100206307803,0.09251372037515135,3.102294921875,3.11328125
primary,trec,31,value,4,82 151 153 154,0.40206475011623166,0.40208398585568766,1.416015625,1.4169921875,0.006339350289001256,0.006349983006320231,-0.0029769099097204195,-0.0030889307885288396,0.5128288511061888,0.5127359224783592,0.2629936982407025,0.26289816654508646,6.9921875,7.056640625,0.32598876953125,0.325927734375,1.007080078125,1.0068359375,0.0425192226559074,0.04250058765016605,2.0516357421875,2.0516357421875
